0 32 52790 34 5585
1 6 6634 6 422
2 0 0 0 0
3 3 289 3 1792
4 9 838 12 4940
5 7 3421 8 1650
6 67 118060 69 12476
7 42 19456 42 11472
8 31 72193 31 4243
9 28 54154 48 35545
10 7 752 2 104
11 7 8229 7 546
12 26 53678 26 1487
13 4 428 4 243
14 1 52 1 52
15 0 0 0 0
16 1 106 1 52
17 2 207 2 104
18 0 0 0 0
19 4 325 4 278
20 1 98 1 52
21 9 959 11 4873
22 5 452 4 208
23 0 0 0 0
24 9 717 9 5679
25 5 304 5 568
26 2 351 2 104
27 18 1410 31 33457
28 3 203 3 1201
29 2 278 2 104
30 32 2092 66 84100
31 3 335 2 104
32 2 104 2 512
33 17 1340 52 66175
34 5 647 5 686
35 2 104 2 890
36 13 1356 14 5763
37 7 1212 7 1715
38 5 501 5 513
39 13 1527 19 19933
40 0 0 0 0
41 12 1092 14 5037
42 2 156 1 52
43 1 98 1 52
44 11 884 18 19486
45 1 100 1 52
46 4 307 4 278
47 11 830 14 11556
48 1 242 1 52
49 4 375 4 954
50 17 2127 25 20288
51 4 306 4 278
52 6 454 6 312
53 4 366 5 4000
54 2 202 2 104
55 0 0 0 0
56 14 956 18 14605
57 3 388 2 104
58 0 0 0 0
59 7 407 10 10928
60 2 277 2 104
61 3 286 5 330
62 8 598 7 3241
63 8 866 9 4713
64 1 99 1 52
65 2 200 2 104
66 1 99 1 52
67 9 1439 10 1904
68 8 708 9 5232
69 5 484 5 815
70 19 17221 22 8979
71 32 7965 47 51363
72 8 1850 14 4503
73 10 4748 9 4053
74 41 13359 114 145389
75 4 556 5 778
76 2 150 2 139
77 19 1023 47 64961
78 5 576 4 741
79 3 224 3 1076
80 7 605 14 15333
81 1 253 1 52
82 5 4197 6 3047
83 37 7769 76 101367
84 7 1140 8 1860
85 0 0 0 0
86 3 156 4 3992
87 1 193 1 52
88 0 0 0 0
89 7 409 7 7755
90 6 590 7 3442
91 3 886 2 139
92 22 1214 68 94405
93 2 294 2 104
94 0 0 0 0
95 0 0 0 0
96 2 104 13 17404
97 7 1191 8 1584
98 3 202 3 226
99 3 156 5 3888
100 2 303 2 104
101 2 232 2 104
102 4 208 10 13766
103 2 253 2 454
104 5 463 5 365
105 1 98 1 52
106 8 678 11 9115
107 7 792 7 1252
108 1 96 3 579
109 29 1985 46 54763
110 5 554 5 1106
111 2 220 2 104
112 3 392 5 2162
113 3 298 3 156
114 3 202 3 226
115 14 1540 17 9942
116 10 21733 10 1262
117 13 7545 13 4024
118 10 936 12 10657
119 2 104 2 762
120 4 1951 4 1010
121 0 0 0 0
122 0 0 0 0
123 5 388 14 10235
124 11 1011 7 1533
125 17 31415 12 694
126 28 29516 37 42378
127 10 2810 11 3304
128 5 566 5 582
129 17 1300 47 57353
130 10 888 9 3201
131 14 18705 7 1285
132 22 1345 37 46115
133 1 714 1 52
134 1 119 1 52
135 4 398 4 605
136 7 605 17 20709
137 0 0 0 0
138 0 0 0 0
139 10 901 24 27309
140 0 0 0 0
141 2 150 2 139
142 6 451 10 9183
143 0 0 0 0
144 1 52 1 52
145 4 338 11 12887
146 0 0 0 0
147 0 0 0 0
148 3 206 2 174
149 4 336 10 11805
150 2 211 3 1177
151 1 96 1 52
152 3 359 5 4474
153 0 0 0 0
154 1 100 3 226
155 6 465 9 9798
156 0 0 0 0
157 4 1141 5 2062
158 3 156 3 3432
159 1 247 1 52
160 3 202 2 174
161 4 440 4 480
162 2 104 3 2566
163 1 254 1 52
164 0 0 0 0
165 3 156 4 4424
166 1 178 1 52
167 3 202 3 226
168 3 156 4 3996
169 1 178 1 52
170 0 0 0 0
171 3 156 4 3343
172 4 377 6 2568
173 3 359 1 52
174 0 0 0 0
175 0 0 4 4244
176 5 460 2 104
177 0 0 0 0
178 3 156 4 3975
179 1 182 1 52
180 0 0 0 0
181 0 0 0 0
182 3 201 3 226
183 3 309 4 2398
184 0 0 0 0
185 0 0 0 0
186 6 442 7 5319
187 8 1579 7 2024
188 6 358 6 4312
189 2 228 2 104
190 0 0 0 0
191 1 52 1 584
192 1 98 1 52
193 5 618 6 2542
194 0 0 0 0
195 0 0 0 0
196 4 357 6 5554
197 5 305 5 1446
198 1 182 1 52
199 11 725 18 23476
200 0 0 0 0
201 0 0 0 0
202 15 1097 23 26119
203 0 0 0 0
204 4 394 7 3683
205 36 10024 65 77978
206 0 0 0 0
207 3 415 3 875
208 31 2055 50 58885
209 15 29223 15 815
210 6 659 6 1074
211 4 349 4 243
212 11 806 30 37560
213 6 649 6 900
214 16 1393 39 44529
215 9 939 16 12384
216 2 269 3 1551
217 0 0 0 0
218 0 0 0 0
219 0 0 0 0
220 0 0 0 0
221 0 0 0 0
222 0 0 0 0
223 0 0 0 0
224 0 0 0 0
225 0 0 0 0
226 0 0 0 0
227 0 0 0 0
228 0 0 0 0
229 0 0 0 0
230 0 0 0 0
231 0 0 0 0
232 2 104 2 104
233 0 0 0 0
234 1 52 1 52
235 0 0 0 0
236 0 0 0 0
237 0 0 0 0
238 0 0 0 0
239 4 391 5 625
240 3 196 3 226
241 0 0 0 0
242 0 0 0 0
243 0 0 0 0
244 0 0 0 0
245 1 52 1 87
246 0 0 0 0
247 0 0 0 0
248 0 0 0 0
249 0 0 0 0
250 0 0 0 0
251 0 0 0 0
252 0 0 0 0
253 0 0 0 0
254 0 0 0 0
255 0 0 0 0
256 0 0 0 0
257 0 0 0 0
258 0 0 0 0
259 0 0 0 0
260 0 0 0 0
261 0 0 0 0
262 0 0 0 0
263 0 0 0 0
264 0 0 0 0
265 0 0 0 0
266 0 0 0 0
267 0 0 0 0
268 0 0 0 0
269 0 0 0 0
270 5 425 5 580
271 0 0 0 0
272 0 0 0 0
273 0 0 0 0
274 0 0 0 0
275 0 0 0 0
276 0 0 0 0
277 2 104 2 104
278 0 0 0 0
279 1 52 1 52
280 0 0 0 0
281 0 0 0 0
282 0 0 0 0
283 0 0 0 0
284 0 0 0 0
285 0 0 0 0
286 0 0 0 0
287 0 0 0 0
288 0 0 0 0
289 0 0 0 0
290 0 0 0 0
291 1 52 1 52
292 0 0 0 0
293 0 0 0 0
294 0 0 0 0
295 0 0 0 0
296 0 0 0 0
297 0 0 0 0
298 0 0 0 0
299 0 0 0 0
300 0 0 0 0
301 5 419 5 796
302 0 0 0 0
303 0 0 0 0
304 0 0 0 0
305 0 0 0 0
306 3 219 4 184
307 8 776 8 1026
307 1 52 1 40
308 0 0 1 40
309 0 0 0 0
310 0 0 0 0
311 0 0 0 0
312 0 0 0 0
