0 36 55040 38 7119
1 16 8337 20 6389
2 42 17645 46 26572
3 8 1097 8 2212
4 14 1388 17 12207
5 22 17356 61 70771
6 25 4878 38 45816
7 35 68205 29 2637
8 36 2160 76 105761
9 0 0 0 0
10 0 0 0 0
11 11 947 24 26389
12 0 0 0 0
13 0 0 0 0
14 5 391 11 13343
15 0 0 0 0
16 4 539 4 1482
17 4 353 8 8480
18 0 0 0 0
19 4 456 5 2659
20 25 1919 38 45680
21 28 53421 18 5978
22 19 9070 18 5363
23 46 12452 96 99079
24 5 885 6 1788
25 13 1265 16 8655
26 22 9628 45 49501
27 3 346 3 477
28 0 0 0 0
29 13 823 24 31870
30 2 104 2 425
31 3 346 3 191
32 22 1305 41 55500
33 3 342 3 569
34 0 0 0 0
35 3 380 7 6513
36 0 0 0 0
37 8 879 8 2106
38 19 1213 33 40046
39 1 252 1 52
40 0 0 0 0
41 8 619 18 17845
42 1 182 1 52
43 0 0 0 0
44 2 104 9 11669
45 2 234 2 104
46 0 0 0 0
47 1 52 1 52
48 0 0 0 0
49 16 1741 31 29254
50 4 350 2 174
51 0 0 0 0
52 30 2829 44 47714
53 5 553 7 3159
54 4 920 4 1398
55 35 29366 56 64623
56 51 58961 33 9938
57 25 9096 21 7784
58 32 11775 38 26077
59 28 53844 22 1409
60 23 8987 24 8423
61 30 34856 37 23730
62 3 254 3 191
63 4 370 3 191
64 13 859 19 23968
65 4 386 4 1333
66 3 401 3 441
67 9 736 13 13177
68 19 2021 20 6622
69 7 2041 6 757
70 0 0 0 0
71 12 8556 13 8413
72 2 220 2 104
73 1 96 1 52
74 0 0 0 0
75 14 1235 13 4671
76 0 0 1 52
77 5 432 6 3818
78 2 196 2 104
79 2 193 2 104
80 37 2382 71 87052
81 4 524 4 577
82 7 666 7 434
83 8 690 15 15494
84 5 537 5 295
85 7 734 7 1928
86 18 1866 22 16311
87 1 98 1 52
88 8 674 8 1310
89 4 411 14 13596
90 16 1147 11 3809
91 2 149 1 52
92 3 306 3 156
93 10 650 12 13323
94 14 2911 18 7831
95 20 2414 24 6247
96 16 28969 13 664
97 11 931 11 6037
98 2 193 2 104
99 4 300 4 278
100 6 482 6 4997
101 4 393 4 874
102 10 1030 9 1995
103 11 942 14 8224
104 1 95 1 52
105 4 305 4 278
106 13 1451 15 8896
107 8 653 6 347
108 0 0 0 0
109 16 1055 21 24896
110 4 302 4 278
111 0 0 0 0
112 11 885 14 9840
113 2 196 2 104
114 10 976 10 1625
115 13 3114 15 8619
116 6 1017 4 1893
117 7 692 5 1681
118 11 898 17 15027
119 6 495 6 742
120 15 3548 16 6209
121 36 20687 44 35557
122 6 465 7 2990
123 2 294 2 139
124 28 1976 52 63769
125 0 0 0 0
126 0 0 0 0
127 11 861 17 14459
