0 31 67270 15 1270
1 0 0 0 0
2 0 0 0 0
3 0 0 0 0
4 0 0 0 0
5 0 0 0 0
6 22 7675 24 7567
7 5 555 6 1772
8 14 27289 14 1082
9 21 2190 21 12660
10 2 164 2 869
11 4 1834 5 794
12 9 714 8 5079
13 2 200 2 104
14 7 1988 8 2370
15 19 1239 23 28721
16 28 30493 24 10262
17 39 35375 35 9102
18 36 12167 45 27306
19 5 1149 6 1631
20 11 2314 15 9664
21 12 8460 13 8435
22 7 632 6 417
23 5 1773 5 1050
24 6 553 7 4397
25 6 617 6 789
26 3 1711 3 938
27 19 1738 26 22031
28 4 345 3 156
29 4 1611 4 968
30 21 1500 32 35621
31 1 96 1 52
32 15 2927 14 2757
33 14 893 33 42688
34 3 273 2 139
35 6 2047 6 1573
36 26 1701 47 60879
37 4 277 4 628
38 5 2027 6 1894
39 44 31530 58 48256
40 32 32590 32 6545
41 27 8838 28 7315
42 38 10328 61 66360
43 39 58454 35 4494
44 28 9483 28 8265
45 37 4440 61 71626
46 13 28345 15 3845
47 4 1035 6 3227
48 31 3634 50 58171
49 2 360 3 156
50 9 2190 9 1659
51 0 0 0 0
52 25 1690 39 45423
53 13 7837 13 2959
54 21 3472 21 6902
55 38 13819 61 65340
56 10 2657 23 21066
57 4 340 1 52
58 10 8524 10 2232
59 9 2173 10 5942
60 13 1019 14 7895
61 1 100 1 52
62 3 1518 3 951
63 16 1394 21 16339
64 5 993 8 1958
65 10 3615 7 1387
66 9 2057 13 12810
67 10 842 12 6760
68 28 3445 30 24401
69 31 56906 16 5507
70 8 2099 8 2237
71 32 3447 56 69123
72 5 545 5 673
73 11 2411 12 6017
74 32 4213 45 47746
75 5 437 5 330
76 11 2355 12 3906
77 15 4162 16 4612
78 17 1215 33 39969
79 9 2332 10 1705
80 7 2108 6 1110
81 35 2559 58 62573
82 11 3342 13 5547
83 7 1889 6 2037
84 46 31670 55 56909
85 3 1578 3 916
86 6 1858 6 1143
87 25 1950 30 27608
88 8 2035 8 2660
89 5 1771 5 1294
90 10 752 15 14585
91 5 1689 3 1187
92 10 2111 10 5395
93 3 199 3 226
94 5 1773 5 1048
95 11 2238 12 8562
96 0 0 0 0
97 4 1718 4 1194
98 13 2474 12 6586
99 1 99 4 278
100 8 2028 5 1056
101 9 1993 10 8405
102 5 489 5 1107
103 3 1574 3 973
104 3 1649 3 1179
105 14 1636 16 6842
106 16 3804 19 7962
107 44 63865 44 8463
108 37 12949 35 14522
109 8 2635 8 2484
110 7 1964 7 2951
111 14 8618 17 11763
112 7 1932 7 1205
113 3 1623 3 914
114 7 471 7 7483
115 3 1598 3 919
116 4 1704 4 1003
117 7 580 8 4583
118 3 1613 4 1755
119 3 1540 3 1674
120 6 506 8 7765
121 3 1531 3 916
122 11 2582 11 2418
123 3 202 3 226
124 6 1810 7 5172
125 4 1714 4 1025
