0 50 62104 34 9742
1 14 9084 19 5831
2 51 72685 37 5440
3 44 34071 50 21931
4 15 30211 11 572
5 40 102185 30 3166
6 19 1699 30 29192
7 4 737 4 208
8 7 8090 7 572
9 11 756 17 19658
10 0 0 0 0
11 6 567 7 3126
12 4 456 4 491
13 5 473 5 295
14 30 2134 38 45079
15 8 855 9 1279
16 7 714 6 762
17 30 2240 57 69487
18 7 713 7 680
19 6 656 6 1741
20 11 728 15 17778
21 6 567 6 347
22 1 99 1 52
23 17 1244 26 28676
24 0 0 0 0
25 2 104 3 2509
26 12 1012 17 14597
27 8 675 8 521
28 0 0 0 0
29 43 54556 33 15053
30 13 12308 15 2561
31 8 987 9 2105
32 11 921 12 4077
33 22 9795 29 25740
34 4 412 4 562
35 0 0 0 0
36 13 1335 14 5720
37 0 0 0 0
38 3 246 2 139
39 5 358 6 4466
40 3 409 3 156
41 3 296 3 156
42 2 152 2 139
43 9 727 9 7308
44 5 392 5 1043
45 2 394 2 139
46 13 1120 16 9174
47 5 358 5 295
48 1 96 1 52
49 5 443 6 3515
50 45 61724 32 9742
51 10 5120 10 1880
52 10 1718 11 2209
53 14 8750 16 7978
54 5 537 5 295
55 5 436 6 4471
56 1 98 1 52
57 6 544 6 347
58 7 551 8 7582
59 5 438 4 243
60 3 202 2 104
61 1 99 2 104
62 10 887 11 5109
63 7 1385 8 2232
64 2 148 2 594
65 13 1474 15 4319
66 6 566 6 983
67 6 493 6 4372
68 1 98 1 52
69 4 345 3 191
70 9 689 10 7807
71 1 98 1 52
72 8 732 8 3563
73 1 98 1 52
74 2 196 2 104
75 7 558 8 5855
76 4 346 3 191
77 6 489 6 382
78 1 95 5 4316
79 8 690 4 208
80 0 0 0 0
81 6 544 7 434
82 6 490 8 7698
83 27 53380 12 993
84 19 8804 20 6569
85 14 5276 17 9186
86 9 962 10 1411
87 11 8590 12 4895
88 2 197 2 104
89 0 0 0 0
90 5 306 5 4432
91 6 733 7 434
92 3 202 3 156
93 12 1469 16 12311
94 3 372 3 156
95 11 1460 11 3048
96 5 4063 7 434
97 12 1033 20 17862
98 0 0 0 0
99 5 610 6 1123
100 3 411 4 887
101 2 150 3 226
102 4 391 4 208
103 7 834 11 7266
104 2 190 2 104
105 3 200 3 156
106 9 1709 19 11913
107 5 593 5 967
108 5 497 5 260
109 0 0 0 0
110 7 577 9 4705
111 2 198 2 104
112 4 306 4 278
113 2 196 1 52
114 4 385 4 3403
115 0 0 1 52
116 1 99 5 4596
117 9 798 6 675
118 4 310 4 278
119 2 197 2 104
120 7 490 7 7509
121 28 53420 14 1097
122 30 14359 33 10826
123 40 55640 26 5052
124 22 9052 18 6982
125 3 359 5 3947
126 19 29712 14 2067
127 12 1446 14 7526
128 7 930 9 1050
129 8 8335 7 500
130 7 638 9 7614
131 4 361 4 243
132 0 0 0 0
133 3 296 3 156
134 9 781 10 3249
135 1 96 1 52
136 2 197 2 104
137 9 771 10 4608
138 4 391 4 208
139 10 962 11 8904
140 4 347 5 330
141 2 198 2 104
142 12 892 12 8519
143 2 197 2 104
144 4 386 4 208
145 3 245 4 278
146 9 796 9 7076
147 2 196 3 156
148 1 104 1 52
149 5 503 5 260
150 4 303 4 208
151 9 686 11 4773
152 7 677 7 893
153 5 1040 5 1521
154 11 1097 13 7927
155 3 298 3 156
156 8 751 11 1036
157 6 461 4 3325
158 5 434 6 4649
159 2 196 2 104
160 6 599 6 312
161 2 196 2 104
162 3 200 3 226
163 8 675 10 4655
164 3 292 3 156
165 3 297 3 156
166 8 634 11 10109
167 0 0 0 0
168 0 0 0 0
169 7 547 8 556
170 8 737 9 4531
171 2 197 2 104
172 3 294 3 156
173 2 191 2 104
174 7 631 9 3147
175 7 593 7 434
176 1 95 1 52
177 8 639 12 11673
178 2 195 2 104
179 5 444 6 382
180 4 390 3 156
181 2 201 2 104
182 12 994 13 6209
183 7 1341 7 1629
184 3 246 4 278
185 7 635 8 2936
186 4 342 4 519
187 4 407 4 243
188 4 299 4 278
189 9 766 11 8540
190 2 155 3 226
191 5 484 5 260
192 8 730 9 4387
193 2 194 2 104
194 5 432 6 4645
195 2 104 2 104
196 6 537 7 434
197 8 698 9 3046
198 0 0 0 0
199 7 630 8 4599
200 2 196 2 104
201 6 539 7 434
202 13 996 14 8084
203 4 386 4 208
204 2 194 2 104
205 6 576 7 2875
206 3 249 4 278
207 7 1094 8 1115
208 7 671 7 4494
209 1 98 1 52
210 2 194 2 104
211 8 794 8 5077
212 6 601 8 1291
213 6 1148 7 1628
214 11 836 12 7944
215 1 101 1 52
216 3 302 3 156
217 6 562 7 680
218 10 843 11 6984
219 3 293 3 156
220 0 0 0 0
221 1 99 1 52
222 5 446 6 382
223 6 539 7 5031
224 4 294 4 278
225 0 0 0 0
226 10 783 12 10323
227 3 203 3 545
228 6 680 7 434
229 4 294 4 278
230 9 784 10 4696
231 2 198 2 104
232 3 255 3 156
233 7 614 8 521
234 2 194 2 104
235 8 708 9 4604
236 2 193 2 104
237 3 298 3 156
238 12 1040 13 10261
239 4 393 5 260
240 7 588 7 364
241 0 0 0 0
242 12 976 12 5357
243 10 1359 10 2292
244 2 193 2 104
245 5 499 5 260
246 4 376 5 3096
247 8 644 8 819
248 5 550 5 295
249 5 403 10 11599
250 5 398 5 330
251 4 389 4 208
252 1 98 1 52
253 4 300 4 278
254 6 481 6 4369
255 6 498 6 382
256 3 300 3 156
257 3 282 4 2791
258 5 394 5 330
259 0 0 0 0
260 12 896 15 8741
261 3 464 3 156
262 5 483 5 272
263 4 251 5 4137
264 7 803 7 434
265 8 558 9 4919
266 5 584 5 260
267 2 194 2 104
268 6 427 7 2974
269 8 796 8 392
270 11 709 11 4883
271 3 387 3 156
272 6 581 6 915
273 13 1452 13 9517
274 3 375 3 156
275 5 441 5 260
276 5 303 6 3215
277 6 547 6 382
278 6 605 6 681
279 5 354 6 4478
280 5 653 5 260
281 0 0 0 0
282 9 606 9 4679
283 8 893 8 486
284 3 295 3 156
285 10 710 10 7656
286 2 302 2 104
287 5 397 5 330
288 2 197 2 104
289 34 10796 43 18071
290 17 28758 9 1461
291 2 193 2 104
292 54 3268 93 116452
293 5 683 5 805
294 1 99 1 52
295 10 4602 14 4528
296 42 12077 69 83451
297 1 92 3 1985
298 9 1995 10 3811
299 36 2486 65 80285
300 9 1549 9 2040
301 16 30615 14 1087
302 33 2299 55 60786
303 17 2005 16 5592
304 44 56888 31 7988
305 35 9621 54 53359
306 26 11371 29 6166
307 10 1246 11 2360
308 19 1484 36 37752
309 4 7920 4 414
310 12 1880 12 3521
311 33 23327 52 53338
312 8 1509 9 2994
313 7 4797 7 752
314 0 0 0 0
315 3 299 3 2285
316 4 490 4 882
317 0 0 0 0
318 0 0 0 0
319 2 657 2 818
320 5 607 5 1120
321 0 0 0 0
322 0 0 0 0
323 6 1757 6 2900
324 2 1468 1 52
325 13 806 14 10490
326 38 60757 34 14501
327 67 72251 67 25714
328 3 358 5 1196
329 21 3456 46 54598
330 39 34525 48 34925
331 2 214 2 104
332 11 1015 13 4287
333 11 1670 8 2609
334 3 314 4 255
335 7 703 8 3089
336 4 456 4 232
337 5 400 4 278
338 3 642 2 1133
339 3 301 3 156
340 7 1979 7 1148
341 6 744 6 1160
342 12 2411 14 3458
343 15 1990 18 7126
344 5 498 3 156
345 15 1245 37 41132
346 24 1855 31 32387
347 2 152 2 139
348 6 583 16 14126
349 20 1205 19 23575
350 6 542 6 347
351 11 1128 11 1005
352 7 670 19 20558
353 7 834 7 971
354 0 0 0 0
355 23 1639 27 29335
356 5 352 5 2176
357 7 1284 7 434
358 1 99 1 52
359 1 95 1 52
360 21 31423 21 4954
361 50 36063 52 13647
362 20 10947 19 3251
363 54 63153 40 11303
364 12 1651 11 1600
365 16 29263 12 1304
366 4 251 4 1863
367 14 1481 14 3389
368 10 886 10 2743
369 20 8478 17 5644
370 14 1045 17 16550
371 17 1216 20 21190
372 14 8788 14 978
373 4 370 4 243
374 7 712 8 4280
375 0 0 0 0
376 6 659 6 1124
377 17 1248 17 12486
378 4 672 6 417
379 27 3270 30 27483
380 17 1126 21 21940
381 14 1131 15 14948
382 3 249 3 191
383 8 683 8 3818
384 4 955 4 571
385 6 537 6 1686
386 23 1759 28 22687
387 4 369 4 243
388 6 631 6 633
389 26 3086 33 29693
390 2 220 2 104
391 12 1219 12 2379
392 24 1734 30 33747
393 10 1693 10 2821
394 2 222 2 104
395 24 1539 30 35718
396 7 763 7 1770
397 5 391 6 781
398 19 2312 22 13749
399 11 1999 12 5460
400 5 1103 5 848
401 19 28671 21 14538
402 5 464 4 243
403 3 207 3 226
404 17 1163 23 24114
405 2 187 2 104
406 5 447 6 1417
407 17 1528 17 9744
408 8 1715 7 2107
409 14 1362 16 9456
410 5 477 4 208
411 2 201 2 104
412 16 1276 20 13957
413 31 54994 18 3425
414 30 9536 28 8544
415 31 12003 39 23766
416 3 346 3 876
417 9 734 11 6156
418 31 10416 41 41679
419 2 201 2 104
420 3 272 3 191
421 19 1456 36 40341
422 6 625 7 1605
423 5 1192 6 2253
424 6 682 7 2155
425 2 152 2 139
426 5 565 4 527
427 17 1154 20 20695
428 1 96 1 52
429 13 1385 13 2868
430 3 346 3 524
431 30 1929 46 56264
432 2 205 3 191
433 5 497 4 1634
434 10 724 17 21838
435 2 197 2 104
436 7 624 8 4104
437 6 608 6 559
438 3 273 3 191
439 17 1392 23 22809
440 5 438 5 330
441 4 353 4 243
442 13 954 20 21040
443 0 0 0 0
444 11 1570 13 5085
445 19 1177 23 28533
446 7 1216 7 765
447 32 54408 35 3944
448 47 10750 50 26417
449 23 11651 21 3322
450 5 545 5 1916
451 36 9922 46 47077
452 6 703 7 1075
453 7 1435 9 2875
454 14 1334 20 16758
455 4 350 4 243
456 5 614 6 672
457 21 1414 25 26867
458 4 412 4 208
459 5 403 7 5856
460 9 8199 9 550
461 12 6787 13 3294
462 28 1873 33 37282
463 7 952 8 2146
464 3 289 3 144
465 10 706 21 26211
466 3 246 3 191
467 9 746 7 1579
468 42 31586 40 29876
469 42 43978 35 8752
470 27 11530 32 9665
471 43 9335 68 84322
472 14 1991 17 12052
473 5 8576 5 918
474 6 503 11 12911
475 2 150 1 87
476 0 0 0 0
477 4 338 5 4364
478 0 0 0 0
479 1 52 1 680
480 10 1019 10 7351
481 1 204 1 52
482 4 404 4 1665
483 12 1474 12 11666
484 15 1601 16 6880
485 6 398 6 665
486 35 28449 49 49310
487 2 279 2 104
488 1 100 1 52
489 39 54343 33 19580
490 29 9345 28 8972
491 18 10795 19 2675
492 22 30503 21 2921
493 30 32251 31 14093
494 34 35914 23 4193
495 1 103 2 104
496 18 1022 34 43988
497 8 877 7 1953
498 4 496 4 640
499 14 1104 31 37607
500 5 354 5 1479
501 16 3340 18 4832
502 12 1043 19 15355
503 18 1158 27 30330
504 18 9410 14 4047
505 5 540 5 901
506 7 494 10 11120
507 7 660 8 3843
508 8 1846 9 6238
509 40 54180 38 28137
510 31 9851 36 12923
511 12 10352 10 1579
512 3 346 3 1095
513 9 8231 12 7304
514 0 0 0 0
515 1 52 1 283
516 14 5655 15 7547
517 5 485 5 965
518 0 0 1 235
519 15 1233 25 25989
520 6 641 6 629
521 6 689 6 1686
522 7 495 13 15913
523 2 156 2 139
