7 1 0 7 1 0 7 1 0 7 1 0 7 10 8 7 10 8 7 10 8 7 10 8
9 1 0 9 1 0 9 1 0 9 1 0 10 6 7 10 6 7 10 6 7 10 6 7
10 1 0 10 1 0 10 1 0 10 1 0 11 5 7 11 5 7 11 5 7 11 5 7
11 1 0 11 1 0 11 1 0 11 1 0 12 5 7 12 5 7 12 5 7 12 5 7
14 1 0 14 1 0 14 1 0 14 1 0 15 3 6 15 3 6 15 3 6 15 3 6
16 1 0 16 1 0 16 1 0 16 1 0 16 3 5 16 3 5 16 3 5 16 3 5
19 1 0 19 1 0 19 1 0 19 1 0 20 2 2 20 2 2 20 2 2 20 2 2
22 1 0 22 1 0 22 1 0 22 1 0 22 2 1 22 2 1 22 2 1 22 2 1
21 1 0 21 1 0 22 1 0 22 1 0 21 2 1 21 2 1 22 2 1 22 2 1
19 1 0 19 1 0 20 1 0 20 1 0 20 2 2 20 2 2 21 2 1 21 2 1
18 1 0 18 1 0 19 1 0 19 1 0 19 2 3 19 2 3 20 2 3 20 2 3
16 1 0 16 1 0 17 1 0 17 1 0 16 3 4 16 3 4 17 3 3 17 3 3
13 1 0 13 1 0 14 1 0 14 1 0 13 4 4 13 4 4 14 4 4 14 4 4
10 1 0 10 1 0 11 1 0 11 1 0 11 6 6 11 6 6 12 5 6 12 5 6
8 1 0 8 1 0 9 1 0 9 1 0 9 7 8 9 7 8 10 6 7 10 6 7
6 1 0 6 1 0 7 1 0 7 1 0 7 10 7 7 10 7 8 9 7 8 9 7
6 1 0 6 1 0 5 1 0 5 1 0 6 12 7 6 12 7 5 15 7 5 15 7
6 1 0 6 1 0 5 1 0 5 1 0 7 10 7 7 10 7 6 12 9 6 12 9
6 1 0 6 1 0 5 1 0 5 1 0 6 12 6 6 12 6 5 15 8 5 15 8
6 1 0 6 1 0 5 1 0 5 1 0 6 12 6 6 12 6 5 15 8 5 15 8
8 1 0 8 1 0 7 1 0 7 1 0 8 9 6 8 9 6 7 10 8 7 10 8
12 1 0 12 1 0 11 1 0 11 1 0 12 5 5 12 5 5 11 6 7 11 6 7
15 1 0 15 1 0 14 1 0 14 1 0 16 3 5 16 3 5 15 4 6 15 4 6
14 1 0 14 1 0 13 1 0 13 1 0 15 4 5 15 4 5 14 4 5 14 4 5
13 1 0 13 1 0 13 1 0 13 1 0 14 4 6 14 4 6 14 4 6 14 4 6
13 1 0 13 1 0 13 1 0 13 1 0 14 4 6 14 4 6 14 4 6 14 4 6
12 1 0 12 1 0 12 1 0 12 1 0 13 5 7 13 5 7 13 5 7 13 5 7
13 1 0 13 1 0 13 1 0 13 1 0 14 4 8 14 4 8 14 4 8 14 4 8
10 1 0 10 1 0 10 1 0 10 1 0 11 6 8 11 6 8 11 6 8 11 6 8
7 1 0 7 1 0 7 1 0 7 1 0 8 9 9 8 9 9 8 9 9 8 9 9
4 1 0 4 1 0 4 1 0 4 1 0 5 15 7 5 15 7 5 15 7 5 15 7
5 1 0 5 1 0 5 1 0 5 1 0 6 12 6 6 12 6 6 12 6 6 12 6
6 1 0 6 1 0 6 1 0 6 1 0 7 10 7 7 10 7 7 10 7 7 10 7
5 1 0 5 1 0 5 1 0 5 1 0 6 12 4 6 12 4 6 12 4 6 12 4
5 1 0 5 1 0 5 1 0 5 1 0 6 12 6 6 12 6 6 12 6 6 12 6
4 1 0 4 1 0 4 1 0 4 1 0 5 15 10 5 15 10 5 15 10 5 15 10
4 1 0 4 1 0 4 1 0 4 1 0 5 15 15 5 15 15 5 15 15 5 15 15
3 1 0 3 1 0 3 1 0 3 1 0 3 25 21 3 25 21 3 25 21 3 25 21
3 1 0 3 1 0 3 1 0 3 1 0 4 19 25 4 19 25 4 19 25 4 19 25
4 1 0 4 1 0 4 1 0 4 1 0 4 19 25 4 19 25 4 19 25 4 19 25
3 1 0 3 1 0 3 1 0 3 1 0 4 19 21 4 19 21 4 19 21 4 19 21
3 1 0 3 1 0 3 1 0 3 1 0 4 19 17 4 19 17 4 19 17 4 19 17
3 1 0 3 1 0 3 1 0 3 1 0 4 19 14 4 19 14 4 19 14 4 19 14
4 1 0 4 1 0 4 1 0 4 1 0 5 15 12 5 15 12 5 15 12 5 15 12
4 1 0 4 1 0 4 1 0 4 1 0 5 15 10 5 15 10 5 15 10 5 15 10
6 1 0 6 1 0 5 1 0 5 1 0 7 10 11 7 10 11 6 12 11 6 12 11
6 1 0 6 1 0 5 1 0 5 1 0 7 10 11 7 10 11 6 12 11 6 12 11
5 1 0 5 1 0 4 1 0 4 1 0 6 12 11 6 12 11 5 15 10 5 15 10
5 1 0 5 1 0 4 1 0 4 1 0 6 12 8 6 12 8 5 15 6 5 15 6
8 1 0 8 1 0 7 1 0 7 1 0 8 9 7 8 9 7 7 10 7 7 10 7
