13 3 2 13 3 2 13 3 2 13 3 2 14 2 1 14 2 1 14 2 1 14 2 1
14 3 2 14 3 2 14 3 2 14 3 2 13 1 1 13 1 1 13 1 1 13 1 1
13 3 2 13 3 2 13 3 2 13 3 2 13 2 1 13 2 1 13 2 1 13 2 1
11 4 2 11 4 2 11 4 2 11 4 2 12 2 3 12 2 3 12 2 3 12 2 3
12 4 2 12 4 2 12 4 2 12 4 2 11 2 3 11 2 3 11 2 3 11 2 3
14 3 2 14 3 2 13 3 2 13 3 2 13 2 2 13 2 2 12 2 2 12 2 2
13 3 2 13 3 2 12 3 2 12 3 2 14 2 2 14 2 2 13 2 2 13 2 2
12 3 2 12 3 2 11 4 2 11 4 2 12 2 2 12 2 2 11 3 2 11 3 2
12 4 2 12 4 2 11 4 2 11 4 2 12 2 2 12 2 2 11 3 2 11 3 2
13 3 1 13 3 1 12 3 1 12 3 1 12 3 2 12 3 2 11 3 2 11 3 2
12 3 2 12 3 2 11 4 2 11 4 2 13 2 1 13 2 1 12 2 1 12 2 1
12 4 2 12 4 2 11 4 2 11 4 2 13 2 1 13 2 1 12 2 1 12 2 1
12 4 2 12 4 2 11 4 2 11 4 2 11 2 2 11 2 2 10 2 2 10 2 2
11 4 2 11 4 2 11 4 2 11 4 2 10 2 2 10 2 2 10 2 2 10 2 2
11 4 3 11 4 3 11 4 3 11 4 3 11 2 2 11 2 2 11 2 2 11 2 2
11 4 3 11 4 3 11 4 3 11 4 3 11 2 2 11 2 2 11 2 2 11 2 2
10 5 3 10 5 3 10 5 3 10 5 3 9 3 2 9 3 2 9 3 2 9 3 2
10 5 2 10 5 2 10 5 2 10 5 2 10 2 2 10 2 2 10 2 2 10 2 2
11 4 2 11 4 2 11 4 2 11 4 2 11 2 2 11 2 2 11 2 1 11 2 1
11 4 2 11 4 2 11 4 2 11 4 2 12 2 1 12 2 1 12 2 1 12 2 1
14 3 2 14 3 2 14 3 2 14 3 2 13 2 1 13 2 1 13 2 1 13 2 1
13 3 1 13 3 1 13 3 1 13 3 1 13 2 1 13 2 1 13 2 1 13 2 1
14 3 2 14 3 2 14 3 1 14 3 1 13 2 1 13 2 1 13 2 1 13 2 1
13 4 1 13 4 1 13 4 1 13 4 1 13 2 1 13 2 1 13 2 1 13 2 1
14 4 2 14 4 2 13 4 2 13 4 2 13 1 1 13 1 1 13 1 1 13 1 1
12 4 2 12 4 2 12 4 2 12 4 2 12 1 1 12 1 1 12 2 1 12 2 1
11 4 3 11 4 3 11 4 2 11 4 2 10 2 3 10 2 3 10 3 3 10 3 3
13 3 3 13 3 3 12 3 3 12 3 3 14 2 2 14 2 2 13 2 2 13 2 2
13 3 3 13 3 3 12 3 3 12 3 3 13 2 2 13 2 2 12 3 3 12 3 3
14 2 3 14 2 3 13 3 3 13 3 3 14 2 2 14 2 2 13 3 2 13 3 2
14 2 3 14 2 3 13 2 3 13 2 3 14 2 2 14 2 2 13 3 2 13 3 2
15 2 2 15 2 2 14 2 2 14 2 2 15 2 2 15 2 2 14 3 2 14 3 2
16 2 1 16 2 1 15 2 1 15 2 1 15 2 2 15 2 2 14 3 2 14 3 2
17 2 1 17 2 1 16 2 1 16 2 1 17 2 2 17 2 2 16 2 2 16 2 2
16 2 1 16 2 1 15 2 1 15 2 1 17 2 1 17 2 1 16 2 1 16 2 1
16 2 1 16 2 1 15 2 1 15 2 1 16 2 1 16 2 1 15 2 2 15 2 2
17 2 1 17 2 1 16 2 1 16 2 1 16 2 1 16 2 1 15 2 2 15 2 2
15 2 1 15 2 1 14 2 1 14 2 1 15 2 2 15 2 2 14 2 2 14 2 2
14 2 1 14 2 1 13 3 1 13 3 1 14 2 2 14 2 2 13 3 3 13 3 3
14 3 1 14 3 1 13 3 1 13 3 1 15 2 2 15 2 2 14 2 3 14 2 3
14 2 1 14 2 1 13 3 1 13 3 1 13 3 3 13 3 3 12 3 3 12 3 3
13 3 2 13 3 2 12 3 2 12 3 2 12 3 3 12 3 3 11 3 3 11 3 3
13 3 3 13 3 3 12 3 3 12 3 3 13 2 2 13 2 2 13 2 2 13 2 2
11 3 3 11 3 3 11 3 3 11 3 3 12 3 3 12 3 3 12 3 3 12 3 3
10 4 3 10 4 3 10 4 3 10 4 3 10 3 3 10 3 3 10 3 3 10 3 3
13 3 3 13 3 3 13 3 3 13 3 3 13 2 2 13 2 2 13 2 2 13 2 2
15 3 2 15 3 2 15 3 2 15 3 2 14 2 2 14 2 2 14 2 2 14 2 2
14 3 2 14 3 2 14 3 2 14 3 2 14 2 2 14 2 2 14 2 2 14 2 2
17 2 2 17 2 2 17 2 2 17 2 2 16 2 2 16 2 2 16 2 2 16 2 2
18 2 1 18 2 1 18 2 1 18 2 1 17 2 2 17 2 2 17 2 2 17 2 2
18 2 1 18 2 1 18 2 1 18 2 1 18 2 1 18 2 1 18 2 1 18 2 1
18 2 1 18 2 1 18 2 1 18 2 1 19 1 1 19 1 1 19 1 1 19 1 1
19 2 1 19 2 1 19 2 1 19 2 1 18 2 1 18 2 1 18 1 1 18 1 1
17 2 1 17 2 1 17 2 1 17 2 1 17 2 1 17 2 1 17 2 1 17 2 1
17 2 1 17 2 1 17 2 1 17 2 1 17 2 1 17 2 1 17 2 1 17 2 1
19 2 1 19 2 1 19 2 1 19 2 1 18 1 1 18 1 1 18 1 1 18 1 1
16 2 1 16 2 1 16 2 1 16 2 1 17 2 1 17 2 1 17 2 1 17 2 1
16 3 1 16 3 1 16 3 1 16 3 1 15 2 1 15 2 1 15 2 1 15 2 1
15 3 2 15 3 2 15 3 2 15 3 2 14 2 1 14 2 1 14 2 1 14 2 1
