5 5397 4 1667 0 0 0 0 10 14014 8 3277 5 15 28 41 828 10914 38036 58819 5 15 25 31 1339 8662 9876 11065
4 4455 4 1427 0 0 0 0 9 12743 7 2982 4 14 28 37 625 9954 34900 56757 5 15 25 25 998 7173 9573 10629
4 4478 4 1468 0 0 0 0 9 12736 7 2983 5 14 28 37 629 9954 34900 56757 5 15 25 25 1135 7173 9573 10629
3 3489 3 1181 0 0 0 0 7 11024 6 2556 4 10 24 30 347 8325 32816 44231 4 11 24 25 806 3985 8651 9682
3 3477 3 1178 0 0 0 0 7 11027 6 2555 4 10 24 30 335 8325 32816 44231 4 11 24 25 806 3985 8651 9682
3 3475 3 1191 0 0 0 0 8 11726 7 2537 4 9 24 33 335 8226 15247 56455 4 13 24 27 834 3985 8655 10003
4 3482 3 1205 0 0 0 0 8 11724 7 2533 4 9 24 33 347 8226 15247 56455 5 13 24 27 992 3985 8655 10003
3 2818 3 1302 0 0 0 0 7 9932 7 2600 4 9 15 31 360 5029 14327 43168 5 10 15 29 1081 4504 8655 9392
2 2198 2 927 0 0 0 0 6 9240 6 2169 3 6 9 31 294 1022 8542 32499 3 7 10 29 334 3266 5070 8983
3 3093 3 1070 0 0 0 0 8 10998 7 2379 3 8 27 33 319 4991 16470 54220 3 9 19 29 693 3493 8187 9366
3 3188 3 1141 0 0 0 0 8 11009 7 2514 4 8 27 33 347 7885 16470 54220 4 9 19 29 693 4358 8695 9366
3 3169 3 1086 0 0 0 0 8 11014 7 2508 3 8 27 33 322 7885 16470 54220 4 9 19 29 450 4358 8695 9366
4 4222 3 1411 0 0 0 0 9 11969 7 2851 4 10 31 35 513 10375 32653 54220 5 10 25 29 1226 5793 8934 9881
3 3130 2 1052 0 0 0 0 7 10136 6 2505 3 6 25 31 371 7885 18806 42339 3 8 19 25 360 4358 8691 9366
4 4144 3 1377 0 0 0 0 9 11996 7 2806 4 10 31 35 513 10138 32653 54220 5 10 25 29 1226 5761 8854 9881
3 3240 3 1068 0 0 0 0 8 10476 6 2534 3 6 25 31 333 8205 18806 42339 3 9 22 26 392 4231 8691 9881
4 4160 3 1367 0 0 0 0 9 11894 7 2796 4 11 28 31 538 10138 32653 53570 5 11 23 26 1242 5761 8835 9881
3 3253 3 1167 0 0 0 0 8 10387 6 2621 3 8 25 30 371 8243 15251 42147 3 10 22 25 561 4714 8690 9331
4 4083 3 1255 0 0 0 0 9 12248 7 2629 3 10 26 38 420 9711 32653 56422 5 12 23 27 1126 4920 8227 9331
4 4191 3 1355 0 0 0 0 9 12243 7 2710 4 10 26 38 601 9711 32653 56422 5 12 23 27 1140 5720 8227 9331
3 3134 2 1026 0 0 0 0 8 11309 6 2340 1 8 25 35 119 7857 11976 56422 3 10 14 27 485 4259 7684 8464
4 4145 3 1343 0 0 0 0 9 12733 7 2697 4 9 27 41 604 8502 19701 56887 5 12 23 30 1140 5109 8212 9363
3 3132 2 1017 0 0 0 0 8 10999 6 2377 1 8 26 32 124 7865 14518 53715 1 9 14 25 258 4096 7702 8661
5 5950 5 1522 0 0 0 0 10 15041 9 2802 5 26 33 39 729 14698 53910 56590 5 14 29 33 1301 7409 8359 8966
4 5273 4 1467 0 0 0 0 10 14055 9 2788 5 12 33 39 660 10320 53910 56590 5 14 29 33 1142 7409 8359 9211
5 5280 4 1481 0 0 0 0 10 14052 9 2783 5 12 33 39 660 10320 53910 56590 5 14 29 33 1142 7409 8359 9211
5 5391 5 1600 0 0 0 0 10 14066 9 2923 5 12 33 39 672 10320 53910 56590 5 14 30 38 1366 7454 8786 9211
5 5284 4 1499 0 0 0 0 10 14080 9 2858 5 12 33 39 589 10320 53910 56590 5 14 30 38 1143 7442 8786 9211
5 6295 5 1792 0 0 0 0 11 15379 9 2983 5 20 33 42 2456 14662 54250 59665 8 23 30 38 2647 7784 8786 9211
4 5283 4 1471 0 0 0 0 10 14375 9 2718 5 11 33 42 603 9773 53980 59665 5 13 28 33 1146 6349 8371 9017
5 6185 5 1664 0 0 0 0 11 15371 9 2835 5 20 33 42 1414 14682 53980 59665 7 19 28 33 1855 7442 8371 9017
3 3459 3 1273 0 0 0 0 9 11512 7 2656 4 10 20 37 402 8281 10290 57104 4 10 19 26 1070 5881 8078 9081
3 3962 3 1225 0 0 0 0 9 12957 7 2582 4 10 29 38 391 8184 19897 59285 4 10 20 26 1004 5551 8078 8848
4 4184 3 1343 0 0 0 0 9 12966 7 2672 4 10 29 38 454 9061 19897 59285 4 11 20 26 1127 5881 8078 8848
3 3123 2 1023 0 0 0 0 8 11189 6 2351 0 7 24 31 0 8114 10134 55153 2 10 19 24 351 4103 7697 8357
3 4129 3 1332 0 0 0 0 9 12722 6 2622 4 11 29 35 574 9061 19897 57530 4 11 20 24 1232 5881 7961 8747
3 3118 2 1042 0 0 0 0 7 10918 5 2424 0 7 24 31 99 8114 10128 55153 2 11 19 23 326 5312 7697 8747
