5 1 0 5 1 0 5 1 0 5 1 0 6 12 13 6 12 13 6 12 13 6 12 13
7 1 0 7 1 0 7 1 0 7 1 0 6 12 13 6 12 13 6 12 13 6 12 13
7 1 0 7 1 0 7 1 0 7 1 0 8 9 12 8 9 12 8 9 12 8 9 12
6 1 0 6 1 0 6 1 0 6 1 0 6 12 13 6 12 13 6 12 13 6 12 13
5 1 0 5 1 0 4 1 0 4 1 0 6 12 12 6 12 12 5 15 12 5 15 12
5 1 0 5 1 0 4 1 0 4 1 0 6 12 8 6 12 8 5 15 8 5 15 8
6 1 0 6 1 0 5 1 0 5 1 0 7 10 5 7 10 5 6 12 6 6 12 6
6 1 0 6 1 0 5 1 0 5 1 0 7 10 4 7 10 4 6 12 5 6 12 5
6 1 0 6 1 0 5 1 0 5 1 0 6 12 7 6 12 7 5 15 7 5 15 7
5 1 0 5 1 0 4 1 0 4 1 0 6 12 10 6 12 10 5 15 11 5 15 11
4 1 0 4 1 0 3 1 0 3 1 0 5 15 10 5 15 10 4 19 9 4 19 9
3 1 0 3 1 0 2 1 0 2 1 0 4 19 10 4 19 10 3 25 5 3 25 5
3 1 0 3 1 0 3 1 0 3 1 0 4 19 13 4 19 13 4 19 13 4 19 13
3 1 0 3 1 0 3 1 0 3 1 0 4 19 13 4 19 13 4 19 13 4 19 13
2 1 0 2 1 0 2 1 0 2 1 0 3 25 3 3 25 3 3 25 3 3 25 3
4 1 0 4 1 0 4 1 0 4 1 0 5 15 9 5 15 9 5 15 9 5 15 9
4 1 0 4 1 0 4 1 0 4 1 0 5 15 9 5 15 9 5 15 9 5 15 9
4 1 0 4 1 0 4 1 0 4 1 0 5 15 8 5 15 8 5 15 8 5 15 8
5 1 0 5 1 0 5 1 0 5 1 0 5 15 5 5 15 5 5 15 5 5 15 5
5 1 0 5 1 0 5 1 0 5 1 0 6 12 5 6 12 5 6 12 5 6 12 5
4 1 0 4 1 0 4 1 0 4 1 0 5 15 5 5 15 5 5 15 5 5 15 5
5 1 0 5 1 0 5 1 0 5 1 0 6 12 5 6 12 5 6 12 5 6 12 5
5 1 0 5 1 0 5 1 0 5 1 0 5 15 5 5 15 5 5 15 5 5 15 5
3 1 0 3 1 0 3 1 0 3 1 0 4 19 6 4 19 6 4 19 6 4 19 6
5 1 0 5 1 0 5 1 0 5 1 0 6 12 11 6 12 11 6 12 11 6 12 11
5 1 0 5 1 0 5 1 0 5 1 0 6 12 10 6 12 10 6 12 10 6 12 10
4 1 0 4 1 0 4 1 0 4 1 0 5 14 11 5 14 11 5 14 11 5 14 11
4 1 0 4 1 0 4 1 0 4 1 0 5 14 12 5 14 12 5 14 12 5 14 12
5 1 0 5 1 0 5 1 0 5 1 0 6 12 13 6 12 13 6 12 13 6 12 13
4 1 0 4 1 0 4 1 0 4 1 0 5 14 11 5 14 11 5 14 11 5 14 11
5 1 0 5 1 0 5 1 0 5 1 0 6 12 10 6 12 10 6 12 10 6 12 10
5 1 0 5 1 0 5 1 0 5 1 0 6 12 10 6 12 10 6 12 10 6 12 10
3 1 0 3 1 0 3 1 0 3 1 0 4 19 11 4 19 11 4 19 11 4 19 11
2 1 0 2 1 0 2 1 0 2 1 0 3 26 5 3 26 5 3 26 5 3 26 5
2 1 0 2 1 0 2 1 0 2 1 0 3 26 12 3 26 12 3 26 12 3 26 12
2 1 0 2 1 0 2 1 0 2 1 0 3 26 20 3 26 20 3 26 20 3 26 20
1 1 0 1 1 0 1 1 0 1 1 0 2 39 24 2 39 24 2 39 24 2 39 24
2 1 0 2 1 0 2 1 0 2 1 0 3 26 28 3 26 28 3 26 28 3 26 28
1 1 0 1 1 0 1 1 0 1 1 0 2 39 23 2 39 23 2 39 23 2 39 23
1 1 0 1 1 0 1 1 0 1 1 0 2 39 13 2 39 13 2 39 13 2 39 13
3 1 0 3 1 0 3 1 0 3 1 0 4 19 18 4 19 18 4 19 18 4 19 18
3 1 0 3 1 0 3 1 0 3 1 0 4 19 13 4 19 13 4 19 13 4 19 13
3 1 0 3 1 0 3 1 0 3 1 0 4 19 11 4 19 11 4 19 11 4 19 11
3 1 0 3 1 0 3 1 0 3 1 0 4 19 12 4 19 12 4 19 12 4 19 12
5 1 0 5 1 0 4 1 0 4 1 0 6 12 14 6 12 14 5 15 15 5 15 15
5 1 0 5 1 0 4 1 0 4 1 0 5 15 13 5 15 13 4 19 12 4 19 12
6 2 2 6 2 2 5 2 2 5 2 2 6 11 12 6 11 12 5 13 12 5 13 12
8 2 1 8 2 1 7 2 1 7 2 1 8 7 10 8 7 10 7 9 11 7 9 11
8 2 1 8 2 1 7 3 1 7 3 1 9 6 10 9 6 10 8 7 10 8 7 10
9 3 2 9 3 2 8 4 2 8 4 2 9 5 7 9 5 7 8 6 8 8 6 8
10 3 2 10 3 2 9 3 2 9 3 2 10 4 4 10 4 4 9 5 5 9 5 5
11 3 2 11 3 2 10 4 2 10 4 2 11 3 3 11 3 3 10 3 4 10 3 4
10 4 2 10 4 2 10 4 2 10 4 2 11 2 3 11 2 3 11 2 3 11 2 3
10 4 2 10 4 2 10 4 2 10 4 2 10 3 3 10 3 3 10 3 3 10 3 3
9 4 2 9 4 2 9 4 2 9 4 2 10 4 4 10 4 4 10 4 4 10 4 4
10 3 2 10 3 2 10 3 2 10 3 2 10 4 4 10 4 4 10 4 4 10 4 4
7 4 3 7 4 3 7 4 3 7 4 3 7 6 4 7 6 4 7 6 4 7 6 4
6 3 2 6 3 2 6 3 2 6 3 2 7 8 6 7 8 6 7 8 6 7 8 6
6 3 2 6 3 2 6 3 2 6 3 2 6 9 10 6 9 10 6 9 10 6 9 10
5 2 1 5 2 1 5 2 1 5 2 1 5 13 14 5 13 14 5 13 14 5 13 14
4 2 1 4 2 1 4 2 1 4 2 1 4 17 16 4 17 16 4 17 16 4 17 16
5 2 2 5 2 2 5 2 2 5 2 2 6 11 15 6 11 15 6 11 15 6 11 15
6 2 2 6 2 2 6 2 2 6 2 2 5 13 16 5 13 16 5 13 16 5 13 16
5 2 2 5 2 2 5 2 2 5 2 2 6 11 15 6 11 15 6 11 15 6 11 15
8 2 2 8 2 2 6 2 2 6 2 2 9 7 10 9 7 10 7 9 10 7 9 10
10 2 2 10 2 2 8 2 2 8 2 2 11 5 6 11 5 6 9 6 6 9 6 6
11 1 2 11 1 2 9 2 2 9 2 2 12 4 3 12 4 3 10 6 3 10 6 3
11 1 2 11 1 2 9 2 2 9 2 2 12 4 3 12 4 3 10 6 3 10 6 3
11 1 0 11 1 0 9 1 0 9 1 0 11 5 6 11 5 6 9 7 6 9 7 6
9 1 0 9 1 0 7 1 0 7 1 0 9 7 9 9 7 9 7 10 9 7 10 9
7 1 0 7 1 0 5 1 0 5 1 0 8 8 13 8 8 13 6 12 14 6 12 14
