15 1 0 15 1 0 14 1 0 14 1 0 16 3 4 16 3 4 15 4 4 15 4 4
15 1 0 15 1 0 14 1 0 14 1 0 15 4 4 15 4 4 14 4 5 14 4 5
11 1 0 11 1 0 10 1 0 10 1 0 12 5 6 12 5 6 11 6 7 11 6 7
11 1 0 11 1 0 10 1 0 10 1 0 12 5 8 12 5 8 11 6 9 11 6 9
10 1 0 10 1 0 9 1 0 9 1 0 10 7 9 10 7 9 9 7 10 9 7 10
8 1 0 8 1 0 7 1 0 7 1 0 8 8 10 8 8 10 8 9 10 8 9 10
7 1 0 7 1 0 6 1 0 6 1 0 8 8 9 8 8 9 7 10 10 7 10 10
7 1 0 7 1 0 6 1 0 6 1 0 7 10 10 7 10 10 6 12 11 6 12 11
5 1 0 5 1 0 5 1 0 5 1 0 6 12 10 6 12 10 6 12 11 6 12 11
6 1 0 6 1 0 6 1 0 6 1 0 7 10 8 7 10 8 7 10 8 7 10 8
7 1 0 7 1 0 7 1 0 7 1 0 8 8 7 8 8 7 8 9 7 8 9 7
6 1 0 6 1 0 6 1 0 6 1 0 7 10 7 7 10 7 7 10 7 7 10 7
7 1 0 7 1 0 7 1 0 7 1 0 8 8 7 8 8 7 8 8 8 8 8 8
6 1 0 6 1 0 6 1 0 6 1 0 7 10 7 7 10 7 7 10 7 7 10 7
6 1 0 6 1 0 6 1 0 6 1 0 7 10 4 7 10 4 7 10 4 7 10 4
6 1 0 6 1 0 6 1 0 6 1 0 7 10 7 7 10 7 7 10 7 7 10 7
6 1 0 6 1 0 6 1 0 6 1 0 7 10 7 7 10 7 7 10 7 7 10 7
5 1 0 5 1 0 5 1 0 5 1 0 6 11 7 6 11 7 6 11 7 6 11 7
4 2 0 4 2 0 4 2 0 4 2 0 5 14 10 5 14 10 5 14 10 5 14 10
5 1 0 5 1 0 5 1 0 5 1 0 6 11 11 6 11 11 6 11 11 6 11 11
3 1 0 3 1 0 3 1 0 3 1 0 4 18 10 4 18 10 4 18 10 4 18 10
3 1 0 3 1 0 3 1 0 3 1 0 4 19 9 4 19 9 4 19 9 4 19 9
6 1 0 6 1 0 6 1 0 6 1 0 6 12 10 6 12 10 6 12 10 6 12 10
6 1 0 6 1 0 6 1 0 6 1 0 6 12 10 6 12 10 6 12 10 6 12 10
5 1 0 5 1 0 5 1 0 5 1 0 6 12 8 6 12 8 6 12 8 6 12 8
5 1 0 5 1 0 5 1 0 5 1 0 6 12 9 6 12 9 6 12 9 6 12 9
6 1 0 6 1 0 6 1 0 6 1 0 7 10 11 7 10 11 7 10 11 7 10 11
6 1 0 6 1 0 5 1 0 5 1 0 7 10 10 7 10 10 6 12 10 6 12 10
6 1 0 6 1 0 5 1 0 5 1 0 7 10 10 7 10 10 6 12 12 6 12 12
5 1 0 5 1 0 5 1 0 5 1 0 6 12 11 6 12 11 6 12 13 6 12 13
5 1 0 5 1 0 5 1 0 5 1 0 5 14 12 5 14 12 5 14 14 5 14 14
6 1 0 6 1 0 6 1 0 6 1 0 7 10 9 7 10 9 7 10 10 7 10 10
7 1 0 7 1 0 7 1 0 7 1 0 8 8 7 8 8 7 8 8 8 8 8 8
7 1 0 7 1 0 7 1 0 7 1 0 8 8 7 8 8 7 8 8 9 8 8 9
6 1 0 6 1 0 6 1 0 6 1 0 7 10 10 7 10 10 7 10 10 7 10 10
5 1 0 5 1 0 6 1 0 6 1 0 6 11 13 6 11 13 7 10 12 7 10 12
5 1 0 5 1 0 6 1 0 6 1 0 6 11 16 6 11 16 7 10 15 7 10 15
5 1 0 5 1 0 5 1 0 5 1 0 6 11 20 6 11 20 6 11 20 6 11 20
3 2 0 3 2 0 3 2 0 3 2 0 4 18 25 4 18 25 4 18 25 4 18 25
2 2 0 2 2 0 2 2 0 2 2 0 2 38 24 2 38 24 2 38 24 2 38 24
1 2 0 1 2 0 2 1 0 2 1 0 2 39 15 2 39 15 3 25 20 3 25 20
1 2 0 1 2 0 2 1 0 2 1 0 2 39 5 2 39 5 3 25 13 3 25 13
1 2 0 1 2 0 2 1 0 2 1 0 2 39 5 2 39 5 3 25 6 3 25 6
1 2 0 1 2 0 2 1 0 2 1 0 2 39 15 2 39 15 3 25 6 3 25 6
1 2 0 1 2 0 2 1 0 2 1 0 2 39 25 2 39 25 3 25 13 3 25 13
2 1 0 2 1 0 4 1 0 4 1 0 3 25 31 3 25 31 4 18 19 4 18 19
4 1 0 4 1 0 5 1 0 5 1 0 5 14 25 5 14 25 6 11 17 6 11 17
4 1 0 4 1 0 5 1 0 5 1 0 5 14 21 5 14 21 6 11 17 6 11 17
