5 4505 5 2194 0 0 0 0 9 12544 8 4958 6 14 31 35 948 10412 33055 56707 6 18 24 30 1675 6916 9256 17380
5 5270 5 2288 0 26 0 26 10 14026 9 4980 7 16 33 38 1096 11590 35078 61193 7 19 27 36 1910 7046 9256 17380
5 4470 5 2165 0 0 0 0 9 13301 8 4896 6 14 32 37 948 8436 29967 61193 6 18 24 35 1910 6853 9171 17236
5 4470 5 2159 0 0 0 0 9 13301 8 4898 6 14 32 37 948 8436 29967 61193 6 18 24 35 1910 6853 9171 17236
6 6535 6 2544 1 100 1 52 11 15367 9 5008 8 26 35 38 1891 28451 53817 61193 8 22 29 35 3432 7157 10137 17236
6 5915 6 2822 1 143 1 139 10 14100 9 5579 8 21 35 36 1891 16408 34042 60730 9 22 29 35 3598 7413 11192 25127
6 5495 6 2469 0 0 0 0 10 13902 9 5061 7 21 35 36 1455 12681 34042 60730 8 22 29 35 2817 7413 10112 17507
5 4665 5 1818 0 0 0 0 9 12443 9 3976 5 18 32 36 831 11321 30094 56929 6 16 29 35 1483 7135 9171 11374
5 5356 5 1937 0 0 0 0 10 13794 9 4034 5 18 35 38 999 12681 34042 59364 7 16 32 36 1635 7413 9537 11374
5 4682 5 1838 0 0 0 0 9 12287 9 3999 5 15 32 36 999 11489 30094 56175 6 15 29 35 1368 7413 9537 11374
4 4415 4 1600 0 0 0 0 9 12274 8 3859 5 14 27 36 728 10571 30094 56175 5 14 24 34 1147 5340 9126 11374
5 5092 4 1676 0 0 0 0 9 13417 8 3873 5 15 29 36 908 11754 33996 56175 5 15 25 34 1208 5358 9126 11374
5 4639 5 1906 0 0 0 0 9 12833 9 4087 7 14 29 38 1101 8950 29317 56175 7 15 25 35 1828 7490 9592 12241
4 4498 4 1510 0 0 0 0 9 13142 8 2969 5 13 29 41 715 8950 29317 59424 5 14 23 30 1444 5275 8656 10404
4 4402 4 1424 0 0 0 0 9 13141 8 2858 5 13 29 41 673 8950 29317 59424 5 14 23 30 1411 5062 8415 10404
5 5418 5 1768 0 0 0 0 10 13775 9 3178 5 16 35 42 1101 12603 34448 59424 7 17 25 36 2139 6653 9126 11601
4 4483 4 1446 0 0 0 0 9 12419 8 2930 4 13 29 40 639 9802 30025 56461 5 15 23 30 1495 4872 8410 11601
6 6437 5 1812 0 0 0 0 11 15104 9 3250 7 20 35 41 1576 28048 53383 60980 9 19 27 37 2139 6653 9808 11601
6 6673 6 2371 2 197 2 130 11 15060 9 4167 8 20 35 41 4666 28048 53383 60980 9 20 27 37 2805 8442 11577 14913
6 6059 6 2870 3 219 4 213 10 14104 9 4860 8 19 35 41 3066 16639 34442 60980 9 19 27 37 3716 9888 13203 18448
5 4509 5 2472 2 137 2 130 9 12375 8 4601 6 11 27 40 826 9802 30025 56389 7 16 23 36 2727 7609 11779 18448
5 4805 6 2528 2 162 3 205 9 12420 9 4686 7 11 27 39 953 15490 30025 53881 8 16 24 38 2727 9088 11883 18448
5 4911 6 2637 3 219 4 234 9 12412 9 4703 8 11 27 39 1307 15490 30025 53881 8 16 24 38 2986 9088 11883 18448
4 3894 5 2297 1 103 1 87 8 11662 8 4558 6 11 26 36 704 8257 28119 53881 6 13 23 34 2156 6708 11883 18448
4 3897 5 2307 1 100 1 69 8 11661 8 4558 7 11 26 36 762 8257 28119 53881 7 13 23 34 2315 6708 11883 18448
4 2874 4 2261 1 100 1 69 7 9821 7 4460 5 10 18 31 666 7864 11505 39661 6 11 22 29 2359 6794 11883 18448
3 2638 3 1706 0 0 0 0 7 9799 7 3601 4 9 11 31 558 1915 11505 39661 5 10 18 28 1592 5834 7254 13361
4 3492 4 1364 0 0 0 0 8 11465 8 2579 4 9 26 38 545 7892 19800 54106 5 10 23 35 1563 5834 7175 8551
3 3531 3 1229 0 0 0 0 8 11487 8 2592 4 9 26 38 405 8223 19800 54106 4 10 23 35 921 6633 7175 8551
2 2217 2 884 0 0 0 0 7 9336 7 2157 2 5 9 33 211 1093 8460 33740 2 6 11 33 165 2439 6789 7351
3 2887 3 955 0 0 0 0 8 11393 8 2272 3 5 24 38 212 1093 11501 56910 3 5 22 35 230 4126 6789 8095
4 4396 4 1419 0 0 0 0 9 13320 9 2707 5 16 31 38 591 8599 28989 60759 5 17 32 36 1084 6751 7284 9577
5 5209 5 1702 0 0 0 0 10 14773 10 2819 5 20 38 39 644 11156 54097 61345 5 19 35 38 2342 6753 8119 9577
5 4445 4 1568 0 0 0 0 10 13364 9 2756 5 16 31 39 626 8661 28989 60759 5 17 32 38 1769 6706 8311 9577
5 4446 4 1569 0 0 0 0 10 13364 9 2756 5 16 31 39 637 8661 28989 60759 5 17 32 38 1769 6706 8311 9577
4 3538 4 1356 0 0 0 0 8 12045 8 2526 5 9 20 38 608 7930 12612 60759 5 10 20 38 1532 4753 8119 8938
5 5018 5 1513 0 0 0 0 10 14733 9 2710 5 16 25 43 637 10861 53574 61717 5 16 22 41 1711 4753 8311 9731
6 5720 6 1884 1 78 2 191 10 15056 9 2870 6 20 26 43 1078 11729 53574 61717 7 19 27 41 2876 6158 8721 9731
6 5911 6 2084 3 220 3 657 11 15069 9 2890 7 22 28 43 1567 11867 53574 61984 7 20 27 38 3449 6158 8721 9946
5 4506 4 1714 0 0 0 0 10 13564 8 2722 5 15 26 43 738 9380 35595 61984 5 13 22 36 2559 5136 8687 9402
