9 5845 12 8678 5 453 5 759 11 18068 19 21838 10 26 32 41 1344 8742 52834 61730 14 34 48 67 5085 19968 52042 73703
7 1931 10 9370 4 397 4 627 8 6449 18 24011 8 17 26 34 975 2334 7978 14981 10 25 47 70 4914 19968 65021 91352
7 1192 11 10849 4 397 5 852 8 2661 19 25732 8 17 22 34 975 1874 4899 10230 10 25 52 71 5343 21604 67071 97329
7 1196 11 11278 4 397 5 852 8 2662 19 26055 8 17 29 34 972 1995 4899 10230 10 27 52 71 6261 23395 67071 97329
6 1500 10 9403 4 381 5 884 8 3574 18 23916 8 14 22 34 898 2334 7778 14981 10 18 47 71 5085 17612 55272 97329
7 2311 11 10398 4 431 5 1091 8 5750 18 24711 8 17 28 34 1152 5027 13552 25001 11 26 47 71 5862 22497 57733 97329
7 2541 11 11006 5 555 5 1179 8 6024 18 25090 10 19 28 34 1196 7567 17295 25001 11 37 47 71 5862 42751 57733 97329
7 2497 11 11228 4 403 5 1091 8 6039 18 25073 10 19 28 34 1152 7567 17295 25001 11 37 47 71 9132 42751 57733 97329
5 1936 8 7969 3 319 4 886 7 5648 13 18478 7 14 22 28 891 2067 8315 25001 10 17 37 55 5294 17734 46547 72914
5 1775 7 6451 3 253 3 593 6 5613 11 15211 6 13 17 24 733 1581 8102 25001 9 14 37 46 4003 14129 42564 55850
4 1739 6 5115 3 239 3 580 5 5620 9 11485 5 11 17 24 575 1581 8102 25001 7 13 24 40 3980 11913 28062 49747
4 1714 5 4288 3 215 3 531 5 5625 8 9973 5 10 14 19 487 1543 8102 25001 7 12 17 37 3567 10277 21038 43947
3 1324 5 4329 3 201 3 226 5 5116 8 10175 5 10 14 19 444 1156 1993 23245 6 11 18 37 3365 10392 23667 43947
3 1002 5 4970 2 182 2 200 6 3939 10 12672 4 10 15 25 402 920 1602 13670 6 11 23 42 3494 11913 26178 51478
3 769 5 4956 2 182 2 226 5 3400 10 12794 4 8 15 22 381 819 1402 5401 6 11 23 43 3494 11862 26691 50558
3 750 5 4528 1 156 1 104 6 3403 10 12762 4 8 15 22 363 819 1402 5401 5 9 23 43 2566 5978 26691 50558
3 722 4 4272 1 104 1 52 6 3406 10 12785 4 8 15 22 358 733 1402 5401 4 7 23 43 2117 5342 26691 50558
3 702 4 4126 0 0 0 0 6 3409 10 12813 4 8 15 22 357 733 1402 5401 4 7 23 43 1167 5342 26691 50558
2 681 4 3947 0 0 0 0 6 3413 10 12844 3 8 15 22 306 733 1402 5401 3 7 23 43 672 5342 26691 50558
2 642 3 3767 0 0 0 0 6 3415 10 12870 1 6 15 22 123 665 1111 5401 1 7 23 43 134 3870 26691 50558
2 620 3 3355 0 0 0 0 6 3417 10 12696 1 6 15 22 52 650 1111 5401 1 6 23 43 52 1121 26691 50558
0 80 1 1250 0 0 0 0 2 234 5 6545 0 3 6 9 0 277 649 861 0 3 6 21 0 276 1097 22957
0 17 0 23 0 0 0 0 0 68 0 98 0 1 2 3 0 52 104 277 0 1 2 3 0 52 104 374
0 36 0 49 0 0 0 0 1 118 1 171 0 1 3 5 0 57 227 421 0 1 4 5 0 88 243 696
0 29 0 39 0 0 0 0 1 111 1 158 0 1 3 5 0 52 197 421 0 1 3 5 0 52 186 670
0 26 0 35 0 0 0 0 1 110 1 157 0 0 2 5 0 5 109 421 0 1 2 5 0 40 107 670
0 32 0 43 0 0 0 0 1 118 1 166 0 1 3 5 0 52 228 422 0 1 4 5 0 52 201 670
0 32 0 43 0 0 0 0 1 118 1 166 0 1 3 5 0 52 228 422 0 1 4 5 0 52 201 670
0 24 0 34 0 0 0 0 1 109 1 155 0 0 1 5 0 0 60 419 0 0 1 5 0 4 58 648
0 30 0 43 0 0 0 0 1 117 1 174 0 0 3 5 0 5 228 419 0 1 4 5 0 40 201 775
0 29 0 43 0 0 0 0 1 117 1 174 0 0 3 5 0 0 228 419 0 0 4 5 0 4 201 775
0 11 0 17 0 0 0 0 0 65 0 103 0 0 0 2 0 0 2 205 0 0 0 2 0 0 2 257
1 801 1 989 0 0 0 0 5 5670 6 6332 0 1 5 26 0 85 632 4678 0 1 5 27 0 76 830 9380
2 1733 2 1300 0 0 0 0 6 8356 7 6479 0 5 16 26 0 569 4339 29969 0 5 11 27 0 900 4417 11084
3 1809 4 3354 0 0 0 0 7 8344 10 11694 3 13 22 26 350 967 4339 29969 3 10 27 41 345 4136 14641 53636
4 2068 6 5809 0 0 0 0 8 8431 13 15879 5 16 26 30 459 1512 8572 29969 5 27 42 48 792 12856 54532 55706
5 2240 8 7936 1 78 1 52 9 8436 16 19371 6 17 27 34 600 2574 8572 29969 7 40 45 55 2036 50325 55688 61719
7 3216 11 10334 3 372 3 396 9 9351 17 21724 10 24 29 34 1318 7594 15587 38611 12 42 48 62 4142 52668 55744 73611
8 3672 12 11367 5 515 5 807 9 9509 17 21803 14 24 29 34 1699 8838 21136 38611 15 42 48 62 6401 52668 55744 73611
9 3790 13 11796 6 591 6 1390 9 9482 17 21720 14 24 29 34 1750 8838 21136 38611 18 42 48 62 9239 52668 55744 73611
8 3371 13 11903 6 604 6 1390 8 8231 16 21261 14 20 25 31 1511 8126 21136 26892 18 41 45 62 12980 52184 55744 73611
9 2918 13 12432 6 653 6 1442 8 6527 16 21418 14 20 24 31 1467 5302 21136 26892 18 41 45 62 14899 52184 55744 73611
8 2902 13 11205 6 652 6 1314 8 6534 15 20060 14 20 24 31 1552 5302 21136 26892 18 36 45 62 13955 35383 54856 73611
8 2718 12 10301 6 652 5 1206 7 6430 14 19249 12 20 24 28 1457 4828 21136 26892 16 29 43 58 11804 32847 52635 76926
8 2607 10 8294 5 580 5 1045 7 6417 12 15994 11 19 24 25 1325 4545 21136 26892 13 26 36 49 5261 30198 34738 62117
7 1730 9 7495 5 537 5 952 6 4849 11 15387 8 18 20 25 1061 1923 4815 22501 10 26 29 44 3095 26295 32825 51462
7 1606 10 9682 5 514 5 952 7 4507 17 22870 8 18 24 34 1029 2035 5171 17012 9 26 36 76 3247 30198 36160 96650
7 1681 10 9756 4 508 5 866 8 4665 17 22993 8 18 24 34 1065 2035 7558 17706 9 26 36 76 3134 31272 36160 96650
6 1331 9 8727 4 419 4 832 8 3898 17 22888 6 18 24 34 802 1923 3028 12002 7 26 36 76 2181 30329 36160 96650
6 1334 10 10388 4 418 4 798 9 4029 19 25270 7 17 32 35 802 2035 3028 12002 7 26 56 81 3095 32475 76041 101433
7 1398 11 11702 4 487 4 849 10 4024 20 26933 7 18 34 35 1030 2177 3028 12002 8 30 59 81 3125 35918 76544 101433
6 1351 10 10319 4 442 3 683 9 4033 19 25906 7 16 34 35 1014 2177 3028 12002 7 26 59 81 2916 32475 76544 101433
6 1306 9 10233 3 419 3 625 9 4040 19 25935 6 16 34 35 818 2177 3028 12002 6 26 59 81 2019 32475 76544 101433
5 1215 8 8653 2 232 2 277 9 4054 18 24365 6 15 32 34 667 2171 3028 12002 6 18 55 81 1297 20799 68061 101433
4 889 5 5447 0 0 1 52 8 3822 13 17005 5 11 17 32 476 1186 2176 6630 4 13 27 56 1057 12354 33818 71145
3 707 5 4959 0 0 0 0 8 3585 13 16760 3 10 16 32 467 1036 1671 2217 3 12 21 56 906 5928 25348 71145
3 700 5 4937 0 0 0 0 8 3586 13 16766 3 10 16 32 470 1036 1671 2217 3 12 21 56 863 5928 25348 71145
3 1184 3 2994 0 0 0 0 6 5471 10 11860 3 9 16 29 467 1186 2176 15168 3 9 16 46 780 2377 12592 46357
2 1333 2 1843 0 0 0 0 5 5727 6 5911 3 7 15 19 450 966 2120 21720 2 9 14 21 717 3380 12248 26130
2 1356 2 2139 0 0 0 0 5 5724 6 6211 3 9 15 19 470 970 2120 21720 2 9 16 21 863 4455 14867 26130
3 1400 3 3182 0 0 0 0 6 5719 7 8742 3 13 18 21 546 1307 2120 21720 3 14 16 30 926 13651 17720 32128
4 1438 4 4283 0 26 0 0 6 5713 8 10135 4 15 19 21 599 1307 2120 21720 4 14 20 35 1208 14123 24838 37947
5 1524 6 6161 1 52 1 139 7 5704 10 13274 6 18 22 26 792 1686 2436 21720 8 20 37 41 2915 22834 42456 51649
5 1581 7 8020 2 273 2 439 8 5694 12 15012 9 19 24 26 829 1686 2436 21720 11 27 37 41 7279 33235 46861 51649
6 1631 8 8770 2 401 2 700 8 5686 12 15321 9 19 24 26 894 1817 2436 21720 13 32 37 41 13607 34038 46861 51649
6 865 8 8917 2 401 3 703 7 2205 11 15145 9 19 23 24 877 1516 1848 6156 12 27 37 41 13607 34038 46861 51649
7 1440 9 10445 3 415 3 736 9 4822 13 17762 11 22 25 27 1062 1684 2320 18864 14 35 38 41 13985 42523 48280 56184
7 1473 10 11276 4 441 3 700 9 4816 14 18698 11 23 25 27 1176 1674 2320 18864 14 36 41 43 13985 44026 49132 56184
8 1522 11 11214 5 483 5 802 8 4807 14 18149 11 22 24 27 1208 1712 2320 18864 14 35 38 43 14391 42523 48280 55451
8 1554 11 11291 5 500 5 946 9 4801 14 18135 11 23 25 28 1217 1749 2320 18864 14 36 38 43 14482 42691 48280 55451
8 1564 11 11438 5 507 5 1040 9 4798 15 19607 11 23 25 32 1208 1749 2569 18864 14 35 37 51 13940 38009 47464 65967
8 1580 11 10550 5 522 6 1040 9 4796 14 19046 11 23 28 32 1217 1749 2569 18864 14 32 38 51 13382 36591 47473 65967
8 1583 11 10197 5 560 6 1040 9 4793 14 18814 11 22 28 32 1145 1705 2569 18864 13 32 38 51 12435 35935 47473 65967
8 1460 11 10421 5 552 6 927 9 4661 14 19348 11 24 28 32 1035 1705 2184 13808 14 35 39 51 13363 38009 48551 65967
7 700 9 8540 5 534 5 922 7 556 12 16766 10 20 25 28 909 1639 1749 2060 12 22 37 41 8101 25620 45552 52142
7 710 9 8101 5 564 5 967 7 548 11 15904 10 18 27 28 905 1639 1749 2060 12 22 33 39 8101 21359 38011 49360
7 683 9 8133 5 533 5 922 7 569 12 16323 9 18 27 28 885 1584 1890 2264 11 22 37 41 7822 21359 45542 49360
7 682 9 7549 5 537 5 932 7 554 12 15830 9 15 27 28 914 1395 1890 2264 11 19 33 41 5952 21359 38154 49360
7 821 9 7405 5 576 5 938 6 1451 11 15043 9 14 25 27 945 1568 1734 2160 11 19 33 41 5283 21359 37996 49360
7 890 8 6995 6 576 5 939 6 1656 10 14405 9 13 18 27 930 1394 1890 4789 10 18 23 41 5012 21352 32893 49249
7 1343 10 8253 6 594 5 939 6 3869 11 15887 10 15 25 27 1000 1735 2425 10105 11 22 41 42 6033 25611 46233 51102
8 1952 10 9393 6 606 6 1011 7 5593 13 18628 10 16 27 32 1040 1918 8315 21068 11 23 41 56 5590 28072 48427 71406
7 1903 10 9325 5 566 5 950 7 5605 14 19016 10 19 27 32 1011 1847 8315 21068 11 26 41 56 5210 33133 48427 71406
7 1865 9 8564 4 473 5 915 7 5613 14 18763 9 16 25 32 1000 1847 8315 21068 10 23 41 56 4333 28072 48427 71406
6 1838 9 7629 4 462 5 778 7 5616 13 18215 8 13 20 32 977 1735 8315 21068 9 22 41 56 3559 25611 46408 71406
6 1840 9 8694 4 453 5 724 7 5617 14 19529 8 19 24 32 977 1735 8315 21068 10 26 45 58 3882 32513 51947 78123
6 1693 9 7811 4 453 4 712 7 5477 13 17249 8 19 20 32 928 1598 3138 20947 10 26 41 48 3559 28057 46408 60410
6 1597 9 7504 4 453 4 669 7 5431 13 17162 8 19 20 32 886 1578 2243 20947 8 26 41 48 3307 28057 46408 60410
5 1129 7 6135 4 404 4 498 6 4185 11 15671 7 11 20 28 778 1421 1594 6609 8 15 34 48 2825 14245 39591 60410
4 508 6 4349 4 391 4 321 4 427 8 10782 6 10 13 20 761 1088 1481 1567 7 12 20 35 2139 11282 23330 41108
5 525 6 4246 4 447 4 498 4 398 7 9896 7 9 11 19 738 996 1457 1512 8 12 20 31 3307 11282 20642 35391
5 511 6 4395 4 460 4 498 4 389 7 9898 7 9 11 19 725 920 1419 1510 8 12 20 31 4295 11282 20642 35391
5 504 6 4347 4 475 4 461 4 400 7 9907 7 9 10 19 710 915 1456 1510 7 11 20 31 3497 11282 20642 35391
4 457 5 2706 4 428 4 364 3 361 5 5657 7 9 9 10 674 785 1079 1510 7 10 11 17 2621 8333 11335 16478
3 396 4 1726 4 347 4 243 2 318 3 3039 6 8 9 10 614 765 837 1232 6 9 11 11 1499 7220 9400 11206
3 379 3 1519 3 300 3 225 2 327 3 2837 5 7 9 10 589 776 890 1314 6 8 10 11 1399 4885 8274 10246
3 364 3 1247 3 292 3 197 2 323 2 2545 5 7 9 9 538 724 890 1314 6 7 9 11 1100 4278 7740 9464
3 335 3 1015 3 245 3 156 2 291 2 2311 5 7 9 9 510 689 767 1015 5 7 9 9 723 2355 7381 8709
2 319 2 603 2 201 2 156 2 324 2 1288 4 6 7 9 490 685 788 1314 4 6 7 8 426 1432 2460 4767
2 313 2 430 2 199 2 147 2 312 2 654 4 6 6 7 468 644 772 1314 4 6 6 8 343 1190 1925 2624
4 1283 4 2785 2 245 3 173 7 6843 10 12145 4 7 10 24 502 927 1267 6682 5 7 13 36 820 1945 7089 39124
4 1337 6 4316 3 289 3 199 7 6840 12 15861 5 8 11 31 573 1120 1657 6889 5 10 15 52 1096 3709 15147 63387
5 1570 7 5523 3 354 3 260 8 6982 13 16783 6 10 20 31 631 1367 1908 13831 6 14 35 53 1502 12494 37787 67126
